data_type,kpi_id,content,meta_attr_1,metric_name,method,target_value
Record Type,Unique Key ID,Content,Category,Metric Name,Measurement Method,Target Value
CS Concept,,BIOS,,,,
System Design. PD Concept,,Signal Processing. Activation Energy,,,,
System Engineer Workflow,,"Bootstrapping, Cold Start",,,,
FAILURE_MODE,ANTI_PATTERN,Deadlock,System Strategy,,System Diagnostic,
FAILURE_MODE,SYMPTOM,"Procrastination, low energy, starting friction, frozen",Human,,Symptom Observation,
FAILURE_MODE,SHADOW,Burnout,Psychological,,Shadow Audit,
FAILURE_MODE,BIAS,Hyperbolic Discounting,Cognitive,,Bias Detection,
\,,,,,,
BOOT_FAILURE,task_too_big,Overwhelm before starting,"No decomposition, seeing the mountain, not the first step",,,
BOOT_FAILURE,no_trigger,Keep Forgetting,Missing activation signal (cue),,,
BOOT_FAILURE,energy_deficit,Too Tired,Physical/mental low battery depleted,,,
BOOT_FAILURE,perfectionism,Not ready,Idealism. Waiting for ideal conditions that never come,,,
BOOT_FAILURE,fear,Avoidance behavior,"Fear of outcome threatening (judgment, failure, change)",,,
\,,,,,,
SUPPORT_FRAMEWORK,5_Sec_Rule,,,,,
SUPPORT_FRAMEWORK,Tiny_Habits,,,,,
\,,,,,,
ACTIVATION_ENERGY,,Make it immediate,"Reward happens NOW, not in 6 months",,,
ACTIVATION_ENERGY,,Make it tiny,What's the smallest possible version?,,,
ACTIVATION_ENERGY,,Place obvious trigger,Place the trigger where you can't miss it,,,
ACTIVATION_ENERGY,,Make it easy,Remove ALL friction between you and the action,,,
ACTIVATION_ENERGY,,Start messy,,,,
ACTIVATION_ENERGY,,Reframe experiment,,,,
\,,,,,,
BOOT_SEQUENCE,seq_exercise,Shoes -> Walk,Health,,,
BOOT_SEQUENCE,seq_writing,Desk -> Write,Work,,,
BOOT_SEQUENCE,Time_trigger,"Alarm, Morning, Sleep",,,,
BOOT_SEQUENCE,Event_trigger,,,,,
BOOT_SEQUENCE,Environment_trigger,"Home, Work, Gym",,,,
BOOT_SEQUENCE,BIOS ACTION,2-minute micro-action,,,,
BOOT_SEQUENCE,POST_BOOT,natural momentum step,,,,
\,,,,,,
HABIT_STACK,hs_coffee,Coffee -> Notebook,Routine,,,
HABIT_STACK,hs_desk,Desk -> Write,Routine,,,
HABIT_STACK,hs_teeth,Teeth -> 2 pushups,Routine,,,
HABIT_STACK,hs_phone,"EXISTING, HABIT, Routine",Routine,,,
\,,,,,,
OMTM,G0_TradeOFF_Entry,,,Market Entry Speed,,
KPI,G0_NSM_Active,,,Activation Time,Trigger to Action,< 5 min
KPI,BOOT_RATE,,,Boot Rate,Success / Total days,> 80%
KPI,STREAK,,,Streak,Consecutive days,Max
KPI,DEADLOCK_REC,,,Deadlock Recovery,Days to recovery,<= 1 day
